filename,class_name,height,width,xmax,xmin,ymax,ymin,xmin_fraction,ymin_fraction,xmax_fraction,ymax_fraction,image_path,class_label,train_test_val
2010_002207.jpg,aeroplane,253,500,491.0,1.0,226.0,33.0,0.002,0.13043478260869565,0.982,0.8932806324110671,/content/VOC2012/JPEGImages/2010_002207.jpg,0,train
2010_004998.jpg,aeroplane,375,500,444.0,32.0,269.0,123.0,0.064,0.328,0.888,0.7173333333333334,/content/VOC2012/JPEGImages/2010_004998.jpg,0,train
2007_006232.jpg,aeroplane,333,500,482.0,86.0,282.0,145.0,0.172,0.43543543543543545,0.964,0.8468468468468469,/content/VOC2012/JPEGImages/2007_006232.jpg,0,train
2007_002099.jpg,aeroplane,375,500,500.0,1.0,331.0,92.0,0.002,0.24533333333333332,1.0,0.8826666666666667,/content/VOC2012/JPEGImages/2007_002099.jpg,0,train
2011_000872.jpg,aeroplane,336,500,364.0,109.0,247.0,84.0,0.218,0.25,0.728,0.7351190476190477,/content/VOC2012/JPEGImages/2011_000872.jpg,0,train
2008_008496.jpg,aeroplane,333,500,423.0,88.0,217.0,116.0,0.176,0.3483483483483483,0.846,0.6516516516516516,/content/VOC2012/JPEGImages/2008_008496.jpg,0,train
2008_002358.jpg,aeroplane,333,500,489.0,8.0,223.0,87.0,0.016,0.26126126126126126,0.978,0.6696696696696697,/content/VOC2012/JPEGImages/2008_002358.jpg,0,train
2008_007374.jpg,aeroplane,333,500,484.0,1.0,333.0,11.0,0.002,0.03303303303303303,0.968,1.0,/content/VOC2012/JPEGImages/2008_007374.jpg,0,train
2009_004317.jpg,aeroplane,372,500,491.0,8.0,286.0,101.0,0.016,0.271505376344086,0.982,0.7688172043010753,/content/VOC2012/JPEGImages/2009_004317.jpg,0,train
2009_003278.jpg,aeroplane,333,500,500.0,22.0,266.0,76.0,0.044,0.22822822822822822,1.0,0.7987987987987988,/content/VOC2012/JPEGImages/2009_003278.jpg,0,train
2010_004063.jpg,aeroplane,375,500,406.0,128.0,275.0,137.0,0.256,0.36533333333333334,0.812,0.7333333333333333,/content/VOC2012/JPEGImages/2010_004063.jpg,0,train
2008_007458.jpg,aeroplane,333,500,246.0,169.0,181.0,90.0,0.338,0.2702702702702703,0.492,0.5435435435435435,/content/VOC2012/JPEGImages/2008_007458.jpg,0,train
2007_003000.jpg,aeroplane,333,500,278.0,193.0,164.0,114.0,0.386,0.34234234234234234,0.556,0.4924924924924925,/content/VOC2012/JPEGImages/2007_003000.jpg,0,train
2009_003760.jpg,aeroplane,333,500,470.0,36.0,249.0,89.0,0.072,0.2672672672672673,0.94,0.7477477477477478,/content/VOC2012/JPEGImages/2009_003760.jpg,0,train
2010_002892.jpg,aeroplane,333,500,301.0,156.0,205.0,130.0,0.312,0.39039039039039036,0.602,0.6156156156156156,/content/VOC2012/JPEGImages/2010_002892.jpg,0,train
2011_002992.jpg,aeroplane,335,500,472.0,1.0,335.0,15.0,0.002,0.04477611940298507,0.944,1.0,/content/VOC2012/JPEGImages/2011_002992.jpg,0,train
2008_000197.jpg,aeroplane,333,500,230.0,95.0,203.0,134.0,0.19,0.4024024024024024,0.46,0.6096096096096096,/content/VOC2012/JPEGImages/2008_000197.jpg,0,train
2010_000418.jpg,aeroplane,333,500,489.0,11.0,217.0,100.0,0.022,0.3003003003003003,0.978,0.6516516516516516,/content/VOC2012/JPEGImages/2010_000418.jpg,0,train
2009_004820.jpg,aeroplane,376,500,500.0,1.0,290.0,2.0,0.002,0.005319148936170213,1.0,0.7712765957446809,/content/VOC2012/JPEGImages/2009_004820.jpg,0,train
2010_002310.jpg,aeroplane,375,500,445.0,62.0,268.0,139.0,0.124,0.37066666666666664,0.89,0.7146666666666667,/content/VOC2012/JPEGImages/2010_002310.jpg,0,train
2007_000738.jpg,aeroplane,332,500,496.0,1.0,235.0,124.0,0.002,0.37349397590361444,0.992,0.7078313253012049,/content/VOC2012/JPEGImages/2007_000738.jpg,0,train
2008_006353.jpg,aeroplane,375,500,500.0,1.0,241.0,82.0,0.002,0.21866666666666668,1.0,0.6426666666666667,/content/VOC2012/JPEGImages/2008_006353.jpg,0,train
2010_003051.jpg,aeroplane,333,500,492.0,84.0,257.0,127.0,0.168,0.3813813813813814,0.984,0.7717717717717718,/content/VOC2012/JPEGImages/2010_003051.jpg,0,train
2011_003154.jpg,aeroplane,375,500,468.0,27.0,281.0,123.0,0.054,0.328,0.936,0.7493333333333333,/content/VOC2012/JPEGImages/2011_003154.jpg,0,train
2009_001332.jpg,aeroplane,333,500,489.0,13.0,219.0,78.0,0.026,0.23423423423423423,0.978,0.6576576576576577,/content/VOC2012/JPEGImages/2009_001332.jpg,0,train
2011_003275.jpg,aeroplane,403,500,448.0,42.0,282.0,50.0,0.084,0.12406947890818859,0.896,0.6997518610421837,/content/VOC2012/JPEGImages/2011_003275.jpg,0,train
2008_008028.jpg,aeroplane,375,500,500.0,66.0,224.0,62.0,0.132,0.16533333333333333,1.0,0.5973333333333334,/content/VOC2012/JPEGImages/2008_008028.jpg,0,train
2008_001468.jpg,aeroplane,375,500,500.0,9.0,359.0,120.0,0.018,0.32,1.0,0.9573333333333334,/content/VOC2012/JPEGImages/2008_001468.jpg,0,train
